Generating RangedArray(valueRange: 1000) : ArrayList...
Generating RandomicArray(arraySize: 100, valueRange: 1000) : ArrayList...

BinarySearchTree(ARRAY_SIZE_TEST: 100, VALUE_RANGE: 1000)

FindValue:  603 | FindTime: 0,003927 ms | FindComparisons:   15 | Found: false
FindValue:  654 | FindTime: 0,001571 ms | FindComparisons:   15 | Found: false
FindValue:  193 | FindTime: 0,001309 ms | FindComparisons:   11 | Found: false
FindValue:  797 | FindTime: 0,001570 ms | FindComparisons:   14 | Found:  true
FindValue:  800 | FindTime: 0,000785 ms | FindComparisons:   12 | Found:  true
FindValue:  264 | FindTime: 0,001047 ms | FindComparisons:   10 | Found:  true
FindValue:  438 | FindTime: 0,001570 ms | FindComparisons:   15 | Found:  true
FindValue:  847 | FindTime: 0,001571 ms | FindComparisons:   17 | Found: false
FindValue:  622 | FindTime: 0,001308 ms | FindComparisons:   16 | Found: false
FindValue:   23 | FindTime: 0,000785 ms | FindComparisons:    8 | Found:  true
FindValue:   33 | FindTime: 0,000785 ms | FindComparisons:   10 | Found: false
FindValue:  434 | FindTime: 0,001047 ms | FindComparisons:   11 | Found:  true
FindValue:   88 | FindTime: 0,001309 ms | FindComparisons:   14 | Found:  true
FindValue:  664 | FindTime: 0,000785 ms | FindComparisons:   11 | Found:  true
FindValue:  155 | FindTime: 0,555714 ms | FindComparisons:    8 | Found:  true
FindValue:  808 | FindTime: 0,001570 ms | FindComparisons:   12 | Found:  true
FindValue:  347 | FindTime: 0,002617 ms | FindComparisons:   20 | Found:  true
FindValue:  519 | FindTime: 0,001833 ms | FindComparisons:   15 | Found: false
FindValue:  463 | FindTime: 0,001047 ms | FindComparisons:   10 | Found:  true
FindValue:  894 | FindTime: 0,001570 ms | FindComparisons:   11 | Found: false
FindValue:  340 | FindTime: 0,002094 ms | FindComparisons:   19 | Found:  true
FindValue:  639 | FindTime: 0,001833 ms | FindComparisons:   18 | Found: false
FindValue:  895 | FindTime: 0,000786 ms | FindComparisons:   11 | Found:  true
FindValue:  203 | FindTime: 0,001309 ms | FindComparisons:   10 | Found:  true
FindValue:  206 | FindTime: 0,000523 ms | FindComparisons:    8 | Found:  true
